0950B41C	California Agriculture
02AA5536	Archives of Oral Biology
02BE9E45	Industrial Metrology
02CA2BBC	Macroeconomics and Finance in Emerging Market Economies
02D091C1	Research in Comparative and International Education
02E9D1F4	Journal of Clinical Sleep Medicine
02EA65E0	Journal of Arthroplasty
02F0BFEA	Research Letters in Organic Chemistry
02F12743	New Review of Information and Library Research
02F51698	Iee Proceedings-microwaves Antennas and Propagation
030051E5	Journal of Neuropsychiatry and Clinical Neurosciences
032988A6	Microprocessors
03298EEF	Child Abuse & Neglect
03337D21	Journal of Infection and Public Health
033F1548	Journal of Mathematics of Kyoto University
0345B1ED	Spanish Journal of Psychology
03560B57	Fisheries
03839A2D	Quadrature
03928357	Information & Computation
0393B05F	Action Learning: Research and Practice
039832BF	Computational & Applied Mathematics
039C1220	International Journal of Nonprofit and Voluntary Sector Marketing
03A85A31	The Open Pharmacology Journal
03AD6B98	Electro- and Magnetobiology
03B9089C	Bundesgesundheitsblatt-gesundheitsforschung-gesundheitsschutz
03B9D3CE	International Journal of Sustainable Transportation
03CB6E15	Archives of Phytopathology and Plant Protection
03D6EF79	International Journal of Distributed Sensor Networks
03D7FD0C	Journal of The Optical Society of America B-optical Physics
03D84E15	Water Resources
03E0B8B9	Anti-cancer Drug Design
03E1535C	Yearbook of Endocrinology
03E416D9	Journal of King Abdulaziz University-engineering Sciences
03F14813	Research Journal of Forestry
04035C38	International Journal of Learning Technology
0411200D	Visitor Studies
041BE876	IEEE Transactions on Information Technology in Biomedicine
0420A5D6	Journal of The Royal Society of New Zealand
042243E8	Direct Marketing: An International Journal
044534D4	Hepatitis B Annual
044B48CF	Respiratory Physiology & Neurobiology
0450B932	Korean Journal of Women Health Nursing
045232E8	Archive: Proceedings of The Institution of Mechanical Engineers, Part A: Journal of Power Engineering 1989 (vol 203)
045DE0B7	Revue Des Etudes Italiennes
046AEDF7	Revista Chapingo Serie Ciencias Forestales Y Del Ambiente
046DB668	Linguistique
0472A545	Journal of Surgical Education
04973E62	International Journal of E-business Research
04C099B3	Esprit
04C17989	Russian Studies in Philosophy
04CDABB0	Footwear Science
04D4F95C	Proceedings of The Aristotelian Society
04D61A8D	IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing
04D900F6	Health Education Research
04ECCC69	Journal of Adult Theological Education
04FCBC8C	Comptes Rendus De L Academie Des Sciences Serie Iii-sciences De La Vie-life Sciences
0502DEF5	Psychiatry Research-neuroimaging
05122B98	Interdisciplinary Perspectives on Infectious Diseases
053D725A	Current Heart Failure Reports
05486B22	The Open Applied Linguistics Journal
0548EA65	Systems Engineering - Theory & Practice
0550D7F6	African Journal of International Affairs
05531039	Moscow University Mechanics Bulletin
05599463	Papers on Language and Literature
055C6C82	American Journal of Cancer
0584654B	Environmental Entomology
059153E3	Graefes Archive for Clinical and Experimental Ophthalmology
0594A0A2	International Journal of Automotive Technology
059C8520	Annales Umcs, Medicina Veterinaria
05ACE060	Calidoscopio
05AECED3	Urology Journal
05C51A38	Journal of Prenatal Diagnosis and Therapy
05D7014F	Doklady Physics
05DF93AF	Kind En Adolescent
05E0867D	Nature Digest
05EA51FF	Journal of Air Transport Management
05FFFBE6	International Journal of Qualitative Studies on Health and Well-being
06113709	Archives of Otolaryngology-head & Neck Surgery
0613DAD1	Vestnik Moskovskogo Universiteta Seriya 2 Khimiya
062C565F	Asian Journal of Control
062CBCDF	Aaps Pharmsci
063F30F0	Opec Review
065FFC1E	Current Opinion in Hiv and Aids
0661A86E	Revue Francaise D Allergologie
066974C5	The International Executive
066A52DF	Regional Science and Urban Economics
0671ED88	Minerva Endocrinologica
0679933A	Geriatric Nephrology and Urology
067B196A	Bulletin of The Geological Society of China
06822A0F	Australian Geographical Studies
068836E6	Literacy Research and Instruction
06A12276	Bibliotheca Orientalis
06A1A678	Studies on Russian Economic Development
06ADDF23	Archives of Iranian Medicine
06B702DA	Critica-revista Hispanoamericana De Filosofia
06BFA3BD	Cognition, Technology & Work
06C230A4	Figures De La Psychanalyse
06C485A2	Nuclear Instruments & Methods in Physics Research Section B-beam Interactions With Materials and Atoms
06D6C9D4	Simulation Modelling Practice and Theory
06D8146C	Biomedica
06D882E0	Journal of Agricultural Education
06D95AB3	New Electronics
06FEA87F	Ring
07062277	Journal of East Asian Linguistics
0706B8A9	International Journal of Flow Control
0713530A	Communal\/plural: Journal of Transnational & Cross-cultural Studies
071B7399	Zeitschrift Für Medienpsychologie
07349F3B	South Asia-journal of South Asian Studies
074392DA	Journal of Nepal Health Research Council
07472C8D	Journal of Agricultural Engineering Research
0754E8B1	Environmental Politics
07571BF2	Safety Science
0766A00A	Quarterly Journal of Mechanics and Applied Mathematics
076D4179	Current Psychiatry Reports
07752A53	Respirology
07755660	International Journal of Social Research Methodology
078244B2	International Journal of Contemporary Hospitality Management
07B3F151	Kidney
07B4FCEC	Medicine Today
07B863E0	Future Microbiology
07CF9497	The Open Reproductive Science Journal
07CFEFBF	Journal of Bangladesh Academy of Sciences
07D65802	Journal of Bacteriology and Virology
07D904C6	Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment
07DBE6E5	European Financial Management
07EA63D2	Annales De Cardiologie Et D Angeiologie
07EADE96	Journal of Neurosurgical Sciences
07EEF881	Northern European Journal of Language Technology
07F6952A	Physics of Wave Phenomena
081722FA	Weed Research
08359240	IEEE Journal of Photovoltaics
0839D909	Trabajos De Estadistica Y De Investigacion Operativa
0844DBF8	National Strength & Conditioning Association Journal
0844EE02	Journal of Cultural Geography
0849841B	International Journal of Ubicomp
085D9A37	Iee Proceedings-science Measurement and Technology
0866B380	Ophthalmic Surgery Lasers & Imaging
087DA176	Anadolu Kardiyoloji Dergisi-the Anatolian Journal of Cardiology
0885DACB	Journal of Marketing
0890F494	International Journal of Fruit Science
08AEC0ED	Comparative American Studies
08AF9A5F	Polish Journal of Surgery
08BBC854	Journal of Geography
08BFCF0E	Yearbook of Diagnostic Radiology
08C2CADC	Capturing Intelligence
08C6C2D7	Journal of Occupational Rehabilitation
08C82E7A	Harvard International Journal of Press-politics
08D60748	Applied Soil Ecology
08DCA3AB	Harrington Gay Men's Literary Quarterly
08E095C8	Kona Powder and Particle Journal
08EDA72E	International Journal of Maritime Engineering
08F5ECC9	Molecular Plant
09311C2F	Fungal Biology Reviews
0947FF09	International Journal of Training Research
095A63B2	The Sixties
0960743D	Journal of The American Musical Instrument Society
096C0BC6	Fetal and Maternal Medicine Review
096EBCDF	Samj South African Medical Journal
097A52E9	Organon F
0980AFE8	Research Letters in Signal Processing
0984C3E7	Enantiomer
098CC6C5	Journal of Fluids and Structures
098E1FF5	Journal of Crohns & Colitis
09A5F1FE	Journal of The Indian Chemical Society
09A6C0E2	Nature India
09ACCBE5	Microbios
09B9FA7C	Journal of Magnetic Resonance, Series A
09BAAB41	Nursing Outlook
09C11F7B	Heart Rhythm
09DC50CD	Journal of Evolutionary Biochemistry and Physiology
09F9FD17	Anthropology News
09FBFDBA	IEEE\/ASME Journal of Microelectromechanical Systems
0A067702	Journal of Anesthesia
0A0CB4DD	Applied Scientific Research, Section B
0A1A3800	Focus on Exceptional Children
0A2DD32B	Journal of The Operations Research Society of Japan
0A316E14	Journal of European Integration
0A3B85D2	IEEE Solid-state Circuits Newsletter
0A3D69E2	The Case International Journal of Educational Advancement
0A4013EE	Convergencia-revista De Ciencias Sociales
0A423CF6	International Journal of Critical Infrastructures
0A4DC300	The Open Business Journal
0A5C2A3B	Nation
0A5CB38A	Informacao & Sociedade-estudos
0A5E1FA3	Journal of Nihon University Medical Association
0A6CD992	Cultural Values
0A7F841A	Computer Law & Security Report
0A9F25AB	International Journal of Services and Operations Management
0AA705E6	Psychotraumatologie
0AA9A010	Journal of Intelligent Learning Systems and Applications
0ABBC978	International Journal of Aeronautical and Space Sciences
0AC64044	Home Healthcare Nurse: The Journal for The Home Care and Hospice Professional
0ACC7A86	Current Respiratory Medicine Reviews
0AD6CF58	Minerals Engineering
0AFA8199	Hts Teologiese Studies-theological Studies
0AFB448F	Labour
0B01A6CF	Cmc-computers Materials & Continua
0B149252	Nihon Shuchu Chiryo Igakukai Zasshi
0B2BBAE5	Journal of Arabic Literature
0B357EDA	Journal of Environment and Engineering
0B364286	Immunology, Endocrine & Metabolic Agents - Medicinal Chemistry (formerly Current Medicinal Chemistry - Immunology, Endocrine & Metabolic Agents)
0B3ECABF	The Progressive Fish-culturist
0B3F8A16	Clcweb-comparative Literature and Culture
0B4B2DDC	Hermes
0B4DFEDE	Victorian Historical Journal
0B588C35	E-spen, The European E-journal of Clinical Nutrition and Metabolism
0B6E5E2E	International Journal of Information Security and Privacy
0B6FE222	Corrosion Prevention & Control
0B7395EE	Botanical Gazette
0B77604C	Journal of International Food & Agribusiness Marketing
0B7FFC69	Current Topics in Microbiology and Immunology
0B872D3F	Corporate Communications: An International Journal
0B926C35	Proceedings of The Ice - Management, Procurement and Law
0B9FD270	Journal of Computer and Systems Sciences International
0BAA8F44	Journal of Ginseng Research
0BACED94	American Orthoptic Journal
0BB50B51	Journal of Academic Ethics
0BBB6EAC	Geostandards and Geoanalytical Research
0BDC4497	Applied Computational Electromagnetics Society Journal
0BDEFA7D	International Journal of Digital Earth
0BEDA389	Perspectivas Em Ciencia Da Informacao
0BFD9BD4	European Orthopaedics and Traumatology
0BFE3887	Journal of Gerontological Social Work
0C03113C	Revista Chilena De Enfermedades Respiratorias
0C157B0D	Journal of Happiness Studies
0C1802EB	Archive: Engineering in Medicine 1971-1988 (vols 1-17)
0C1CF0AC	Journal of Promotion Management
0C3239EB	Blood Purification
0C3771CA	Rendiconti Lincei-scienze Fisiche E Naturali
0C39DAA9	Thin-walled Structures
0C485B9E	Journal of Further and Higher Education
0C4A3F2C	Journal of Neurodevelopmental Disorders
0C500589	Annals of Glaciology
0C521D10	American Journal of Agricultural and Biological Sciences
0C5D2FD1	Ieice Electronic Express
0C5E68C9	Journal of Political Science Education
0C5F6EDB	Disease Management & Health Outcomes
37AB7493	Plant Soil and Environment
37BEA118	Interpreter and Translator Trainer
37CAC4E0	Architect
37F9E43C	International Journal of E-entrepreneurship and Innovation
3844DDF8	Proverbium
38BBF8B9	Rad
38F5EC85	Topics in Inorganic and General Chemistry
39A396D9	Archivo Espanol De Arte
39AAEDA9	Gantiadi
3A163637	Revista De Educacion
3A32037D	Synthesis Lectures on Information Security, Privacy, and Trust
3AAA13D1	Higher Education Abstracts
3AB9DE5E	Primerjalna Knjizevnost
3ADB49D4	Magazine Antiques
3B757724	Crozer Quarterly
3B771410	Ayandah
3BAB05A1	Künstliche Intelligenz
3BCEF3B4	Joop-journal of Object-oriented Programming
3BFBD385	The Python Papers Anthology
3C2F45FD	Przeglad Menopauzalny
3C393E77	Annales De Bretagne Et Des Pays De L Ouest
3C613CF7	Arion-a Journal of Humanities and The Classics
3C9BEB87	Avant Scene Opera
3CBC1E54	Religion & Literature
3CD58A7C	Ion Exchange Letters
3D5AD0B2	Prostor
3DBEF1F3	Biotechnology Software & Internet Journal
3E1EF2BA	Shanghai University Journal Society
3E31AB9C	Korrozios Figyelo
4E0C91C0	arXiv
015A18FC	Proceedings of the Royal Society
04DEB71A	Public health journal
064BB5CC	Journal of Healthcare Management
01849BE6	Studies in American Political Development
08840D72	October
0520C306	PLOS Computational Biology
046A0263	Public Culture
08E53C82	Journal of Financial Economics
06FA8B4F	Energy and Environmental Science
07FBDE7F	Journal of Nanoscience and Nanotechnology
0AE89E27	American Literature
3A43AFD9	Kerux
03475F78	Green Chemistry
00FEE278	Mechademia
0110086D	Journal of Literary and Cultural Disability Studies
03650983	Vox Sanguinis
01EA2A0C	Nursing Older People
08C9D465	Journal of the American Board of Family Medicine
04A73F7E	Critical Reviews in Toxicology
03221BA9	Water Research
0790B38D	Linguistics
083080E4	Didaskalia
0AED4072	The International Journal of Biochemistry & Cell Biology
074F05F7	The Eighteenth Century
01EDE0FA	Zoo Biology
019855CA	Lebensmittel-Wissenschaft & Technologie
02FBD774	Suicide and Life Threatening Behavior
0C3F99F8	Oxford Literary Review
0A8B572E	Health Promotion Practice
0675497F	Political Research Quarterly
00C09566	Journal of Physics: Conference Series
0B82F743	Food Structure
01A8746A	WorkingUSA
09C38158	Biomaterials
07224280	Progress in Polymer Science
00160F29	Penn State Law Review
0AB92758	British Journal of Social Psychology
091B983D	Growth Factors Journal
08E4E5AA	The ISME Journal
0B812085	College Mathematics Journal
029FE560	Pediatric Radiology
00C7337B	Osteoarthritis and Cartilage
0812213D	Teaching Philosophy
0476E0B0	Social Compass
3DA87780	Columbia
072A8345	Capital & Class
06EAB55D	Journal of Instrumentation
08921613	Journal of Paleontology
0A655761	Review of Income and Wealth
0081CC49	Linguistic Inquiry
0415FE95	Mathematics and Computer Education
06C309B3	Dartmouth Law Journal
0B612746	Seattle Journal for Social Justice
0B22372A	Jump Cut
0593033F	Global Health Promotion
3B650977	Latin American and Caribbean Bulletin of Medicinal and Aromatic Plants
04F06C6C	Atlantic Geology
078585DD	European Journal of Immunology
08EB74C5	International Journal of Conflict and Violence
0C5B7193	Complexity
3B37CE67	Anamesa
016B0970	New England Law Review
02EA48A2	Genes to Cells
095E1F27	American Studies
096FE257	Theoretical Issues in Ergonomics Science
02C91452	Europace
011D908E	Materials
031BFA10	Family Practice
066CE372	BMC Nursing
07124D56	Macromolecular Theory and Simulations
3D4B7B53	Coal City Review
3C617064	Archaeologia Cambrensis
0202DB16	Academy of Management Perspectives
08A16D71	Frontiers in Ecology and the Environment
032F9AFE	Journal of the Geological Society
086AEEDE	Fordham Journal of Corporate & Financial Law
0094DF2F	International Journal of Quantum Information
01A93275	Journal of Emergencies, Trauma, and Shock
0439F542	Geriatric Nursing
079DA6EF	Zeitschrift für celtische Philologie
07D5A6F3	International Journal of Software Engineering and Knowledge Engineering
0B1ADF8A	International Review of Victimology
3A04DBAE	Asian Culture
024E2B62	Evolutionary Computation
04E07CBF	Animation
068AD235	Criminal Justice Policy Review
0B63C609	Journal of Contemporary Water Research & Education
01E4C03F	Age and Ageing
00A8A311	Journal of Ornithology
057878FE	Accounting History
0676E78C	Australian Economic History Review
0BB89C05	IEEE Transactions on Communications
00A19BE7	Current Sociology
0278AAFD	Australian Entomologist
028F9BBB	Russian Journal of Physical Chemistry B
0367217D	Philosophy & Social Criticism
0856A543	Georgetown International Environmental Law Review
095EE211	Acupuncture in Medicine
078B3903	European Business Law Review
0858A697	Journal of Building Physics
